channel,events,baseline_median_mV,positive_q10_mV,positive_q50_mV,positive_q90_mV,positive_q99_mV,negative_q10_mV,negative_q50_mV,negative_q90_mV,negative_q99_mV,positive_time_median_ns,negative_time_median_ns
A,5000,0.0,39.98524,39.98524,39.98524,79.97047,-39.98524,-39.98524,0.0,0.0,-88.0,-52.0
B,5000,0.0,39.52387,39.52387,39.52387,79.20153,-39.52387,-39.52387,-39.52387,0.0,-72.0,-60.0
C,5000,118.8792,39.5239,79.20150000000001,118.8792,4841.793836000007,-79.35533,-39.67766999999999,-39.67766999999999,-39.67766999999999,8.0,-20.0
D,5000,23.80659,19.83883,23.806600000000003,31.742130000000003,63.51501,-19.838829,-15.871058999999999,-7.93553,-7.935529,0.0,-36.0
