event,file,A_baseline_mV,A_positive_excursion_mV,A_positive_time_ns,A_negative_excursion_mV,A_negative_time_ns,B_baseline_mV,B_positive_excursion_mV,B_positive_time_ns,B_negative_excursion_mV,B_negative_time_ns,C_baseline_mV,C_positive_excursion_mV,C_positive_time_ns,C_negative_excursion_mV,C_negative_time_ns,D_baseline_mV,D_positive_excursion_mV,D_positive_time_ns,D_negative_excursion_mV,D_negative_time_ns
1571,event_001571.csv,0.0,39.98524,-96.0,0.0,-100.0,0.0,39.52387,-96.0,-39.52387,-68.0,118.8792,118.8792,8.0,-118.8792,-12.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-48.0
1572,event_001572.csv,0.0,39.98524,-100.0,-39.98524,108.0,0.0,39.52387,-48.0,0.0,-100.0,158.5568,79.20159999999998,140.0,-79.35527,-44.0,23.80659,23.806600000000003,0.0,-15.871058999999999,20.0
1573,event_001573.csv,0.0,39.98524,-72.0,-39.98524,-100.0,0.0,39.52387,8.0,-39.52387,-4.0,158.5568,39.5239,-48.0,-79.35527,-20.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-100.0
1574,event_001574.csv,0.0,39.98524,-96.0,-39.98524,-84.0,0.0,39.52387,32.0,-39.52387,-12.0,158.5568,39.5239,-52.0,-119.03293000000001,36.0,23.80659,23.806600000000003,0.0,-15.871058999999999,28.0
1575,event_001575.csv,0.0,39.98524,-96.0,-39.98524,156.0,0.0,39.52387,72.0,-39.52387,-92.0,118.8792,79.20150000000001,-40.0,-39.67766999999999,-100.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-40.0
1576,event_001576.csv,0.0,39.98524,-92.0,0.0,-100.0,0.0,39.52387,-40.0,-39.52387,-92.0,158.5568,39.5239,-64.0,-79.35527,-76.0,31.74213,15.871060000000003,0.0,-15.87107,-60.0
1577,event_001577.csv,0.0,39.98524,-96.0,0.0,-100.0,0.0,39.52387,-48.0,-39.52387,-100.0,138.71800000000002,59.36269999999999,-8.0,-59.51647000000001,-64.0,23.80659,23.806600000000003,0.0,-15.871058999999999,8.0
1578,event_001578.csv,0.0,39.98524,-68.0,-39.98524,-72.0,0.0,39.52387,-80.0,-39.52387,-92.0,118.8792,317.1137,160.0,-39.67766999999999,-8.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-28.0
1579,event_001579.csv,0.0,39.98524,-52.0,-39.98524,-88.0,0.0,39.52387,-60.0,-39.52387,-64.0,158.5568,39.5239,144.0,-79.35527,-88.0,23.80659,23.806600000000003,0.0,-15.871058999999999,24.0
1580,event_001580.csv,0.0,39.98524,-92.0,-39.98524,-36.0,0.0,39.52387,-80.0,-39.52387,-92.0,158.5568,79.20159999999998,144.0,-79.35527,-32.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-40.0
1581,event_001581.csv,0.0,39.98524,-92.0,-39.98524,-68.0,0.0,39.52387,-56.0,-39.52387,-44.0,158.5568,39.5239,-92.0,-79.35527,120.0,27.77436,19.83883,0.0,-11.903300000000002,-28.0
