run,label,scope_channel,csv_files_found,events_plotted,parse_skipped,peak_mean_V,peak_median_V,peak_max_V,peak_99p9_V,integral_mean_Vns,integral_median_Vns,baseline_rms_median_mV,active_scope_overflow_events,active_scope_overflow_samples,any_scope_overflow_events,any_scope_overflow_samples,near_rail_saturation_candidates,flat_top_candidates,panel_plot,overlay_full_range,overlay_zoom
sipm1_ch0,SIPM1 / detector CH0,Channel A,10000,10000,0,0.20196291238367559,0.17213818430900574,4.002208709716797,4.001148660182953,10.201797418111392,9.0176325490608,1.9759552539107967,20,1439,20,1439,20,20,/home/muon/brDownVstudy/waveform_plots_all_20260827/saturation_checks/sipm1_ch0_saturation_check_panel.png,/home/muon/brDownVstudy/waveform_plots_all_20260827/saturation_checks/sipm1_ch0_all_waveforms_overlay_full_range.png,/home/muon/brDownVstudy/waveform_plots_all_20260827/saturation_checks/sipm1_ch0_all_waveforms_overlay_zoom.png
sipm2_ch2,SIPM2 / detector CH2,Channel B,10000,10000,0,0.17897091840207577,0.17117304354906082,0.4898524880409241,0.3765747378170493,9.472234661814317,8.949052888784458,2.399724532620759,0,0,0,0,0,0,/home/muon/brDownVstudy/waveform_plots_all_20260827/saturation_checks/sipm2_ch2_saturation_check_panel.png,/home/muon/brDownVstudy/waveform_plots_all_20260827/saturation_checks/sipm2_ch2_all_waveforms_overlay_full_range.png,/home/muon/brDownVstudy/waveform_plots_all_20260827/saturation_checks/sipm2_ch2_all_waveforms_overlay_zoom.png
