bias_V,label,run_dir,scope_channel,n_files,n_events,n_accepted,accepted_fraction,baseline_median_mV,baseline_noise_median_mV,prompt_peak_median_mV,prompt_peak_mean_mV,prompt_peak_std_mV,selected_peak_count,selected_peak_mus_mV,one_pe_spacing_mV,one_pe_spacing_unc_mV,spacing_residual_rms_mV,spacing_rel_residual,spacing_diffs_mV,fit_quality_ok,peak_candidates,peak_max_mV,peak_99p9_mV,clipped_events,use_in_vbr_fit
53.2,53.20 V,/home/muon/brDownVstudy/20260827_53p2v_sipm1_ch0_20000-0005,A,20000,20000,19998,0.9999,0.0,0.59281761,106.73466084983602,109.47538252537343,12.218815725680958,4,97.726;107.065;124.471;133.661,11.978149182991785,2.7145550293390817,4.659017292791425,0.3889596983319372,9.338;17.407;9.190,False,4,239.31935980198838,186.28166757140838,0,False
53.9,53.90 V,/home/muon/brDownVstudy/20260827_53p9V_sipm1_ch0_10000,A,10000,10000,9994,0.9994,-0.73819,2.690503872,150.94191945149328,160.72899162439805,23.1363967494136,3,142.414;169.625;205.221,31.403622161824373,4.192312651074459,4.1923126510744595,0.13349774205890236,27.211;35.596,True,3,335.33856438348806,279.55297928754254,0,True
54.1,54.10 V,/home/muon/brDownVstudy/20260831-54p1_sipm1_ch0_20000,A,20000,20000,19988,0.9994,0.0,0.59281761,107.34982084983609,117.67424651354239,22.121643727090245,6,97.719;107.009;115.990;142.350;150.655;177.741,16.00432546473824,4.380154243461503,11.037646686426093,0.689666472401161,9.290;8.981;26.360;8.306;27.086,False,6,399.0150483856099,258.9970348737279,0,False
54.9,54.90 V,/home/muon/brDownVstudy/20260827_54p9V_sipm1_ch0_10000,A,10000,10000,9994,0.9994,-0.38447338,1.4483736922012564,177.72060710831823,181.03207393173014,39.909392562013835,4,143.911;180.479;224.941;271.014,42.36769010788959,2.937041811307546,4.651688802051601,0.1097933068856491,36.568;44.462;46.073,True,4,458.7987018681572,405.2243603491394,2,True
55.59,55.59 V,/home/muon/brDownVstudy/20260827_55p59V_sipm1_ch0_10000,A,10000,10000,9962,0.9962,0.0,0.547219490874,171.69877807018742,193.65529727616266,51.128851451137095,3,161.491;214.771;267.581,53.04531855456834,0.23462260504000199,0.23462260504000199,0.00442305959193445,53.280;52.811,True,3,499.5150857645641,486.98835628202187,20,True
55.65,55.65 V,/home/muon/brDownVstudy/20260827_55p65V_sipm1_ch0_10000,A,10000,10000,9966,0.9966,-0.64591527,1.4820527723399999,170.18053427371825,193.7689315044384,51.45970707162891,3,161.495;215.474;267.283,52.894231488473636,1.0848544732723866,1.0848544732723866,0.02050988250975517,53.979;51.809,True,3,496.93152884643,482.6635895769539,21,True
56.3,56.30 V,/home/muon/brDownVstudy/20260831_56p3V_sipm1_ch0_20000,A,20000,20000,19949,0.99745,0.0,1.0032309419999998,193.6024795870174,220.56009442262007,77.98037520438135,6,141.948;178.500;196.380;239.817;300.656;363.278,44.26593184267605,8.270549670010913,16.561869683660007,0.37414483315344965,36.552;17.880;43.437;60.839;62.622,False,6,986.0332467762921,707.2819526564288,1,False
56.4,56.40 V,/home/muon/brDownVstudy/20260827_56p4V_sipm1_ch0_10000,A,10000,10000,9854,0.9854,-0.70743108,1.5504551920199996,193.88757899102984,217.1503899156238,66.25793294438412,4,143.424;182.391;244.297;303.470,53.34864961661075,7.234098458299784,11.772255931685812,0.22066642766568506,38.967;61.906;59.173,False,4,499.26327126083686,492.5833499748155,122,False
56.86,56.86 V,/home/muon/brDownVstudy/20260827_56.86_sipm1_ch0_20000,A,20000,20000,19916,0.9958,-0.07689499999999999,2.114621392653006,202.40539407015922,231.95002714324536,100.80431191411718,6,147.021;196.497;221.373;266.759;328.500;399.240,50.44388661733404,7.809679731585937,15.649295466963352,0.3102317548542301,49.476;24.876;45.386;61.741;70.740,False,6,990.7120063617685,864.2856399539522,9,False
