trigger_threshold_mV,accepted_events,total_events,acceptance_percent,area_spacing_mV_ns,area_spacing_unc_mV_ns
10,53,5000,1.06,,
15,81,5000,1.6199999999999999,3129.7855209750473,105.15974750496848
20,4322,5000,86.44,3051.592038825073,27.852351330208624
25,4991,5000,99.82,3046.1641090293,34.94110508902334
30,4996,5000,99.92,3058.7598698025067,31.47923261780911
35,4992,5000,99.83999999999999,3044.1796891042864,30.8803732070629
40,4995,5000,99.9,3025.099729089684,32.721164488671214
45,4994,5000,99.88,3018.6908538529433,32.44259135665961
