channel,events,baseline_median_mV,positive_q10_mV,positive_q50_mV,positive_q90_mV,positive_q99_mV,negative_q10_mV,negative_q50_mV,negative_q90_mV,negative_q99_mV,positive_time_median_ns,negative_time_median_ns
A,30,0.0,39.98524,39.98524,39.98524,39.98524,-39.98524,-39.98524,0.0,0.0,-80.0,0.0
B,30,0.0,39.52387,39.52387,39.52387,39.52387,-39.52387,-39.52387,0.0,0.0,-84.0,-8.0
C,30,0.0,0.0,158.0955,158.0955,158.0955,-158.0955,0.0,0.0,0.0,-100.0,-96.0
D,30,0.0,0.0,15.87106,15.87107,15.87107,-15.87107,0.0,0.0,0.0,-100.0,-96.0
