sipm,detector_channel,bias_V,accepted_events,active_scope_channel,area_mean_mVns,area_median_mVns,area_std_mVns,peak_height_mean_mV,peak_height_median_mV,height_spacing_mV,height_spacing_unc_mV,use_for_height_vbr,note
sipm1,ch0,53.9,9983,A,7460.442591422269,7135.4481240814,1727.729584521202,162.15565617949017,152.43200883299798,31.601582299580087,4.438062193987832,True,
sipm1,ch0,54.9,9958,A,8847.151815688374,8698.356460230454,2595.48235780775,181.7678961206631,178.93700989223262,42.459830851711274,3.0080602142579362,True,
sipm1,ch0,55.59,9949,A,9807.945725165384,8552.845205682974,3328.790136057861,195.16676350088989,172.29603101912778,54.450015282733105,0.33924304266524524,True,
sipm1,ch0,55.65,9938,A,9777.302455074774,8541.990231174488,3238.076027011423,194.5823315201658,170.78794749280308,53.68552686673267,0.2235003862427476,True,
sipm1,ch0,56.4,9812,A,11191.737242922394,9882.65875135402,4354.374386395432,218.05709332018634,194.90149297000002,53.38866812463814,8.057427510265699,False,not used in Vbr fit: high-bias saturation/poor spacing stability
sipm1,ch0,56.86,9843,A,14515.784839821143,11232.68458993618,9965.825576883182,260.78229120383503,217.87118947261663,,,False,not used in Vbr fit: p.e. spacing not resolved
sipm2,ch2,54.9,9947,B,7914.434831190872,8024.152543924667,1837.8386645766282,163.67499522546518,163.72675104767822,29.150771415008307,3.359238634739512,True,
sipm2,ch2,55.59,9871,B,9100.102330883865,8515.696487858551,2558.94044150162,179.54646463874892,171.3612575429495,41.94829308804242,0.13907383359108394,True,
sipm2,ch2,55.65,9864,B,9082.58674962116,8513.997417954146,2568.000087855827,179.57723083377826,171.7066660417617,37.326954140203924,4.639039917714325,True,
sipm2,ch2,56.4,9881,B,9135.234216888019,8084.520698041476,3332.9390167593033,178.35078574826238,158.106112527666,49.13279036923221,0.30938697387087183,True,
sipm2,ch2,56.86,9744,B,13042.46446907986,10822.200737548505,7482.967798544241,231.6724040239371,200.3206038867142,60.37422709600424,4.189718251363309,True,
