event,file,ok_shape,clipped,n_samples,t_min_ns,t_max_ns,A_baseline_mV,A_rms_mV,A_peak_mV,A_peak_time_ns,A_trough_mV,A_trough_time_ns,A_area_mVns,A_snr,B_baseline_mV,B_rms_mV,B_peak_mV,B_peak_time_ns,B_trough_mV,B_trough_time_ns,B_area_mVns,B_snr,accepted,active_scope_channel,passive_scope_channel
1,20260827_55p59V_sipm1_ch0_10000_00001.csv,True,False,2032,-152.99999964,354.749986,-1.1047566090263692,1.8977503156215205,166.55135084902636,13.74999564,-3.908776510973631,159.74999151,8643.20212566466,87.76252043171452,-2.751051454056795,2.441851027521398,3.673787624056795,155.99999162,-6.537826035943206,243.74998914,-142.41255277446436,1.504509317993029,True,A,B
2,20260827_55p59V_sipm1_ch0_10000_00002.csv,True,False,2032,-152.99999964,354.749986,-1.4312704411764703,2.144714095291785,161.51061614117648,5.74999587,-3.58226267882353,185.74999078,7692.283604617844,75.3063620441228,-3.103020071095335,2.3204567158017495,7.547532911095335,108.99999295,-6.524194358904666,199.99999038,49.09828019313919,3.252606635451745,True,A,B
3,20260827_55p59V_sipm1_ch0_10000_00003.csv,True,False,2032,-152.66666664,355.083319,-1.6092756513849287,2.071017267228694,161.78089125138493,8.33332881,-7.987180878615071,176.58332405,7700.942004286381,78.1166308033105,-3.0634777719959265,2.5965493394219212,3.9862139419959264,166.33332434,-5.687136398004074,169.33332425,-29.018633468792366,1.5351966864158995,True,A,B
4,20260827_55p59V_sipm1_ch0_10000_00004.csv,True,False,2032,-153.33333364,354.416652,-0.8842265329554656,1.551622709464547,163.90095016295547,7.9166618,-4.1293065870445345,221.41665576,7750.2807382384735,105.63196140607945,-1.962931278137652,2.309620456849645,6.392064698137652,20.66666144,-7.049125071862348,90.91665945,-158.16553017264636,2.7675823008844143,True,A,B
5,20260827_55p59V_sipm1_ch0_10000_00005.csv,True,False,2032,-153.33333364,354.416652,-0.5884777681781376,1.3598511279484373,159.42212644817815,9.91666174,-4.425055351821863,219.41665582,7408.818860353888,117.23498489771676,-3.3361706333198384,2.4884049740810594,7.765304053319839,104.41665907,-6.537106076680162,3.41666193,-5.153428647767269,3.120594973166488,True,A,B
6,20260827_55p59V_sipm1_ch0_10000_00006.csv,True,False,2032,-152.24999964,355.499986,-1.0026438365918366,1.6728299882252902,240.91403604659183,12.74999569,-4.010889283408163,226.49998965,11940.630339686024,144.015852024615,-3.043648347040816,2.496368198765994,7.4881611870408165,99.74999323,-5.7223447729591825,67.49999414,-20.97338392003877,2.9996220872956036,True,A,B
7,20260827_55p59V_sipm1_ch0_10000_00007.csv,True,False,2032,-152.66666664,355.083319,-0.530494991771894,2.2438916844940566,160.6098406917719,6.08332887,-3.8217436682281063,159.08332454,7474.420673984437,71.57646770636593,-1.8341965069246438,2.4258756571665634,10.600189626924642,173.33332414,-6.931796613075355,157.33332459,-191.21575114207167,4.369634360940711,True,A,B
8,20260827_55p59V_sipm1_ch0_10000_00008.csv,True,False,2032,-153.99999964,353.749986,-0.6851207511267606,1.622564852344655,159.38035696112675,2.99999592,-8.06549341887324,175.74999103,7221.0761633281,98.22741860260152,-3.0735901727766595,2.2553827123891415,7.810302152776659,98.24999322,-10.25994788722334,136.24999215,36.38545395236443,3.4629609023220524,True,A,B
9,20260827_55p59V_sipm1_ch0_10000_00009.csv,True,False,2032,-152.66666664,355.083319,14.105741888248472,20.405944822122745,162.30604705175153,6.33332886,-19.457611948248474,204.33332326,4612.185789138913,7.953860919774237,-3.4158464827902244,2.307512479369283,7.860359322790224,21.08332844,-6.2113679472097765,104.0833261,233.50270453052147,3.4064211539773392,True,A,B
10,20260827_55p59V_sipm1_ch0_10000_00010.csv,True,False,2032,-153.47368464,354.276301,-0.3508514250404858,1.5217257155532466,286.2914337050405,17.77631052,-8.353625884959515,164.27630637,15485.558809191842,188.1360292324132,-2.882025045587044,2.112546712069843,7.326537885587044,0.526311,-6.7451893844129565,87.27630855,84.9261620178158,3.468106926927361,True,A,B
11,20260827_55p59V_sipm1_ch0_10000_00011.csv,True,False,2032,-153.63636364,354.113622,-0.5693623707070707,1.7219279871180806,215.88984272070707,10.11363173,-4.44417074929293,193.11362655,10364.781774856152,125.37681269820867,-2.9814630314747474,2.258956685520534,7.733554441474748,97.86362925,-5.784530088525251,128.11362839,138.59611650609912,3.423507184110835,True,A,B
12,20260827_55p59V_sipm1_ch0_10000_00012.csv,True,False,2032,-152.66666664,355.083319,-1.678277267474542,2.0903338444739705,270.9634335174745,12.33332869,-3.8427607925254583,-5.16667081,15062.271234790185,129.6268700015533,-3.1968767374134424,2.2441461122483113,46.51934072741344,91.33332646,-6.045863892586558,82.8333267,2295.762803657338,20.72919426837487,True,A,B
13,20260827_55p59V_sipm1_ch0_10000_00013.csv,True,False,2032,-153.99999964,353.749986,-0.07101540191146881,1.5227528455615187,163.37992958191145,8.49999576,-8.833388288088532,181.74999086,7146.01332882225,107.29248023284089,-3.1396546319517102,2.3893613211062705,4.3084537919517105,78.74999378,-6.73362207804829,68.74999406,-170.84866817263418,1.8031821951302465,True,A,B
14,20260827_55p59V_sipm1_ch0_10000_00014.csv,True,False,2032,-153.63636364,354.113622,-1.2442957193939395,1.8318365480668144,284.06292974939396,13.36363164,-3.7692374006060607,241.11362519,14415.4846088042,155.0700197837919,-2.24566640759596,1.9510618326660991,6.69017924759596,38.11363094,-6.520326712404039,4.36363189,-72.94408518270824,3.428993963996478,True,A,B
15,20260827_55p59V_sipm1_ch0_10000_00015.csv,True,False,2032,-153.33333364,354.416652,-1.0691162138663968,1.9676017715785161,230.35369263386642,11.16666171,-7.835287476133604,252.66665488,11333.065601174192,117.07333056986641,-3.1261578617408907,2.589406202043465,7.555291281740891,32.6666611,-5.624456308259109,98.66665923,121.74175179499218,2.9177698252898794,True,A,B
16,20260827_55p59V_sipm1_ch0_10000_00016.csv,True,False,2032,-152.99999964,354.749986,-1.1776583663691684,1.736545482170844,165.68614225636918,5.74999587,-3.8358747536308315,185.74999078,7922.343475378896,95.41134623738506,-3.1999728515212986,2.5437322445368236,7.6137273115212984,172.99999114,-6.088904638478702,137.74999214,98.75959091229296,2.993132365984395,True,A,B
17,20260827_55p59V_sipm1_ch0_10000_00017.csv,True,False,2032,-153.49999964,354.249986,-1.2062056612525252,1.8016273157731983,159.5630934812525,8.99999576,-3.8073274587474746,187.24999072,7683.994143479507,88.56609360009251,-3.3172519836767673,2.2038236693363076,7.761764823676767,64.2499942,-5.9716255063232335,131.24999231,233.51709145712562,3.521953653403796,True,A,B
18,20260827_55p59V_sipm1_ch0_10000_00018.csv,True,False,2032,-153.66666664,354.083319,-0.95097746410101,1.7996105607994837,218.624439374101,11.0833287,-4.06255565589899,241.08332219,10627.75839117787,121.48430562497715,-2.5495790303232324,2.6514044288455008,11.223298440323234,86.08332658,-6.447098369676767,96.58332628,189.40729484010953,4.23296360156198,True,A,B
