channel,events,baseline_median_mV,positive_q10_mV,positive_q50_mV,positive_q90_mV,positive_q99_mV,negative_q10_mV,negative_q50_mV,negative_q90_mV,negative_q99_mV,positive_time_median_ns,negative_time_median_ns
A,200,0.0,39.98524,39.98524,1047.9209999999996,2926.6455699999938,-39.98524,-39.98524,0.0,0.0,-70.0,-60.0
B,200,0.0,39.52387,39.52387,325.20302999999956,3612.611209999997,-39.52387,-39.52387,-39.52387,0.0,-8.0,-68.0
C,200,79.04774,5629.92126,9317.021260000001,9920.95226,9920.95226,-79.04774,0.0,0.0,0.0,4.0,-100.0
D,200,0.0,190.51424,309.608765,762.1247179999999,1271.0323680999993,-79.355311,-31.74213,-15.87106,-15.87106,8.0,-16.0
