sipm,tag,commanded_bias_v,measured_bias_v,temperature_corrected_bias_v,temperature_c,accepted_events,total_events,expected_gap_mV_ns,fitted_gap_mV_ns,fitted_gap_unc_mV_ns,reference_residual_mV_ns,reference_residual_pct,reduced_deviance,delta_bic_comb_over_single,multistart_relative_spread,validated,reason
SIPM2,bias_52p000,52.000950824257,52.000950824257,51.985077777382,20.293945312500014,13,10000,15.743198411428557,,,,,,,,False,fewer than 200 events passed the five-sigma pulse cut
SIPM2,bias_52p200,52.200151606270694,52.200151606270694,52.184826996895694,20.2837890625,21,10000,125.75739408109004,,,,,,,,False,fewer than 200 events passed the five-sigma pulse cut
SIPM2,bias_52p400,52.39935238828438,52.39935238828438,52.38485043515938,20.268554687499975,15,10000,235.92261890266263,,,,,,,,False,fewer than 200 events passed the five-sigma pulse cut
SIPM2,bias_52p600,52.59855317029806,52.59855317029806,52.58651918592306,20.222851562500033,40,10000,346.9940186357214,,,,,,,,False,fewer than 200 events passed the five-sigma pulse cut
SIPM2,bias_52p800,52.79962453967987,52.79962453967987,52.78896164905487,20.19746093749999,834,10000,458.49154941483215,383.7887191443182,15.851383237955844,-74.70283027051397,-16.293174948558242,0.9972940375975012,15.696946459983224,0.4658495822055382,False,comb spacing is not stable across initial values
SIPM2,bias_53p000,53.00069590906169,53.00069590906169,52.99140411218669,20.17207031249995,4497,10000,569.9890801939507,601.5336056993361,8.446453135974254,31.544525505385423,5.534233304022551,1.4994561965422701,450.5514776015226,0.17953447708217643,False,comb spacing is not stable across initial values
SIPM2,bias_53p200,53.198837855178596,53.198837855178596,53.190105042678596,20.16171875,9949,10000,679.4259185460608,708.3326586417735,13.198935075336887,28.906740095712735,4.254583068831373,1.771453328717637,1033.7817052975493,0.00014456367813873874,True,resolved
SIPM2,bias_53p400,53.39990922456041,53.39990922456041,53.39309594331041,20.12617187499994,9950,10000,791.2255076290055,811.5038492775867,11.437390757848878,20.278341648581204,2.5629029212351218,1.8899908910863714,960.8564954465878,0.0005592968478243954,True,resolved
