sipm,recommended_method,reference_temperature_C,temperature_coefficient_V_per_C,breakdown_voltage_V,fit_uncertainty_V,height_crosscheck_V,height_charge_difference_V,long_gate_systematic_V,internal_total_uncertainty_V,charge_fit_slope_mV_ns_per_V,height_fit_slope_mV_per_V,charge_r_squared,height_r_squared,leave_one_out_charge_min_V,leave_one_out_charge_max_V
SIPM1,pedestal-constrained peak-aligned charge spacing,20.0,0.054,50.63041900675912,0.04117453270558429,50.77124615093952,0.140827144180399,0.010081973782860132,0.14706893919821545,532.6693535140732,11.134352773060918,0.9997319294580214,0.998215542021175,50.56731526971744,50.65809152495771
SIPM2,pedestal-constrained peak-aligned charge spacing,20.0,0.054,51.92023670581051,0.11660686416743435,51.995849574489895,0.07561286867938577,0.16911283280420264,0.218891792673802,547.2744563705228,10.780087230374255,0.9967578748281322,0.9897553785294393,51.75482230687214,52.01769504797668
